booking_id,user_id,technician_id,service_category,problem_description,booking_date,status,final_cost,rating,simulated_distance_deg
49,269,26,Plumbing,"Need the water heater replaced, it's rusty and old.",2025-12-06 22:24:04.568075,Canceled,0,,0.0482
50,144,58,Carpentry,Kitchen cabinet hinges are broken.,2025-08-13 22:24:04.568075,Canceled,0,,0.0187
51,412,77,Plumbing,The water heater is making strange noises and water is cold.,2026-01-12 22:24:04.568075,Canceled,0,,0.3937
52,184,16,Carpentry,New office desk needs professional assembly.,2025-11-05 22:24:04.568075,Canceled,0,,0.391
53,457,82,Carpentry,Fixing a broken leg on the dining table.,2025-12-25 22:24:04.568075,Completed,394,3.0,0.151
54,460,60,Plumbing,The toilet won't flush properly.,2025-09-02 22:24:04.568075,Canceled,0,,0.3962
55,265,92,Plumbing,Shower drain is very slow and smells terrible.,2025-07-22 22:24:04.568075,Canceled,0,,0.0242
56,308,75,Plumbing,Dishwasher water line needs professional installation.,2026-03-18 22:24:04.568075,Completed,422,4.0,0.0809
57,374,2,Electrical,Sparking sound coming from the wall outlet.,2026-02-18 22:24:04.568075,Completed,794,4.0,0.1123
58,455,91,Plumbing,The kitchen drain is clogged and water backs up.,2025-12-04 22:24:04.568075,Completed,204,4.0,0.4176
59,39,86,Plumbing,Dishwasher water line needs professional installation.,2025-11-02 22:24:04.568075,Completed,480,4.0,0.0387
60,437,23,Carpentry,"Front door lock mechanism is jammed, door won't open.",2025-06-03 22:24:04.568075,Completed,569,5.0,0.0236
61,215,57,Plumbing,The toilet won't flush properly.,2025-06-09 22:24:04.568075,Canceled,0,,0.0107
62,24,62,Plumbing,"Bathroom pipe burst, flooding the floor!",2025-09-11 22:24:04.568075,Completed,963,4.0,0.011
63,331,89,Carpentry,Antique wooden table has cracks and needs restoration.,2026-02-17 22:24:04.568075,Canceled,0,,0.0398
64,163,80,Electrical,Need to rewire the living room for extra outlets.,2026-03-02 22:24:04.568075,Canceled,0,,0.0259
65,460,14,Carpentry,Fixing a broken leg on the dining table.,2025-11-26 22:24:04.568075,Completed,544,5.0,0.0336
66,10,56,Plumbing,Need help installing a new washing machine drain.,2026-02-08 22:24:04.568075,Completed,212,3.0,0.3007
67,179,70,Electrical,Need to install a new ceiling fan in the bedroom.,2025-05-07 22:24:04.568075,Canceled,0,,0.0162
68,331,5,Plumbing,The toilet won't flush properly.,2026-02-09 22:24:04.568075,Canceled,0,,0.0376
69,273,98,Electrical,Need to rewire the living room for extra outlets.,2025-04-05 22:24:04.568075,Completed,480,3.0,0.0232
70,250,65,Plumbing,My kitchen sink is leaking continuously.,2025-09-21 22:24:04.568075,Completed,386,4.0,0.3072
71,303,30,Plumbing,"Need the water heater replaced, it's rusty and old.",2025-10-18 22:24:04.568075,Completed,876,5.0,0.0141
72,273,19,Carpentry,Antique wooden table has cracks and needs restoration.,2025-06-19 22:24:04.568075,Completed,766,4.0,0.0501
73,45,85,Plumbing,"Bathroom pipe burst, flooding the floor!",2026-03-06 22:24:04.568075,Completed,536,4.0,0.0108
74,376,24,Plumbing,Shower drain is very slow and smells terrible.,2025-07-18 22:24:04.568075,Completed,359,4.0,0.3212
75,164,46,Plumbing,"Toilet is constantly running, wasting water.",2026-02-26 22:24:04.568075,Completed,484,4.0,0.031
76,260,42,Electrical,Half the lights in the apartment went out suddenly.,2025-12-26 22:24:04.568075,Completed,459,3.0,0.0203
77,404,13,Electrical,The fuse box keeps tripping when I turn on the AC.,2026-01-16 22:24:04.568075,Completed,1036,4.0,0.4147
78,57,75,Plumbing,The water heater is making strange noises and water is cold.,2025-10-25 22:24:04.568075,Canceled,0,,0.109
79,146,30,Plumbing,The water heater is making strange noises and water is cold.,2025-10-04 22:24:04.568075,Completed,876,5.0,0.0124
80,242,24,Plumbing,"Toilet is constantly running, wasting water.",2025-09-21 22:24:04.568075,Completed,718,4.0,0.0118
81,435,49,Plumbing,Dishwasher water line needs professional installation.,2025-04-02 22:24:04.568075,Completed,518,4.0,0.02
82,301,24,Plumbing,The toilet won't flush properly.,2026-03-08 22:24:04.568075,Completed,718,4.0,0.0347
83,133,82,Carpentry,The bedroom door is stuck and won't close.,2025-12-01 22:24:04.568075,Canceled,0,,0.4196
84,486,61,Electrical,Need to install a new ceiling fan in the bedroom.,2025-09-18 22:24:04.568075,Completed,579,5.0,0.0413
85,111,49,Plumbing,Shower drain is very slow and smells terrible.,2026-03-04 22:24:04.568075,Completed,518,4.0,0.0312
86,78,49,Plumbing,The kitchen drain is clogged and water backs up.,2026-02-15 22:24:04.568075,Completed,518,4.0,0.0129
87,179,6,Carpentry,The bedroom door is stuck and won't close.,2026-01-12 22:24:04.568075,Completed,168,3.0,0.4118
88,289,95,Electrical,Ceiling fan is wobbling dangerously and making noise.,2025-08-20 22:24:04.568075,Completed,350,5.0,0.022
89,361,84,Plumbing,"Need the water heater replaced, it's rusty and old.",2025-06-19 22:24:04.568075,Canceled,0,,0.4216
90,305,8,Plumbing,Shower drain is very slow and smells terrible.,2025-09-25 22:24:04.568075,Completed,256,4.0,0.0029
91,294,29,Electrical,Wiring for the new smart TV setup.,2025-06-14 22:24:04.568075,Completed,256,3.0,0.1326
92,344,20,Carpentry,Kitchen cabinet hinges are broken.,2025-11-23 22:24:04.568075,Canceled,0,,0.0993
93,173,75,Plumbing,The water heater is making strange noises and water is cold.,2025-05-19 22:24:04.568075,Completed,633,4.0,0.0931
94,241,65,Plumbing,"Toilet is constantly running, wasting water.",2025-06-02 22:24:04.568075,Canceled,0,,0.0196
95,158,72,Carpentry,Wall-mounted bookshelf needs professional installation.,2026-03-02 22:24:04.568075,Canceled,0,,0.0046
96,228,27,Carpentry,Assembling a new IKEA wardrobe.,2026-01-01 22:24:04.568075,Canceled,0,,0.0279
97,50,41,Electrical,Ceiling fan is wobbling dangerously and making noise.,2025-08-04 22:24:04.568075,Completed,836,4.0,0.0086
98,445,6,Carpentry,Fixing a broken leg on the dining table.,2026-03-01 22:24:04.568075,Completed,336,2.0,0.1449
99,38,17,Plumbing,The water heater is making strange noises and water is cold.,2025-09-28 22:24:04.568075,Completed,372,3.0,0.0275
100,405,88,Electrical,Need to rewire the living room for extra outlets.,2026-02-02 22:24:04.568075,Completed,1737,5.0,0.0953
101,424,17,Plumbing,Need help installing a new washing machine drain.,2026-02-16 22:24:04.568075,Completed,248,3.0,0.0388
102,52,28,Plumbing,"Bathroom pipe burst, flooding the floor!",2025-11-14 22:24:04.568075,Canceled,0,,0.0517
103,67,93,Electrical,Need to install a new ceiling fan in the bedroom.,2025-04-14 22:24:04.568075,Completed,305,5.0,0.0248
104,424,8,Plumbing,My kitchen sink is leaking continuously.,2025-05-10 22:24:04.568075,Completed,768,3.0,0.3417
105,137,50,Electrical,Main circuit breaker needs inspection and replacement.,2025-05-30 22:24:04.568075,Canceled,0,,0.1181
106,309,8,Plumbing,The toilet won't flush properly.,2026-03-13 22:24:04.568075,Completed,512,4.0,0.0282
107,487,39,Plumbing,Need help installing a new washing machine drain.,2025-06-09 22:24:04.568075,Completed,258,5.0,0.0189
108,129,68,Plumbing,The toilet won't flush properly.,2025-11-27 22:24:04.568075,Canceled,0,,0.307
109,357,6,Carpentry,Antique wooden table has cracks and needs restoration.,2025-04-07 22:24:04.568075,Completed,504,3.0,0.3849
110,60,85,Plumbing,"Need the water heater replaced, it's rusty and old.",2025-07-20 22:24:04.568075,Completed,804,3.0,0.3287
111,218,91,Plumbing,"Need the water heater replaced, it's rusty and old.",2025-12-25 22:24:04.568075,Completed,612,5.0,0.0492
112,438,43,Electrical,Ceiling fan is wobbling dangerously and making noise.,2025-05-23 22:24:04.568075,Completed,102,3.0,0.3935
113,403,81,Electrical,Wall outlet stopped working and smells like burning.,2026-02-12 22:24:04.568075,Completed,544,4.0,0.0896
114,427,45,Electrical,Need smart home wiring for lights and thermostat.,2025-04-16 22:24:04.568075,Canceled,0,,0.0266
115,267,8,Plumbing,"Need the water heater replaced, it's rusty and old.",2026-01-05 22:24:04.568075,Completed,768,3.0,0.0115
116,292,42,Electrical,Main circuit breaker needs inspection and replacement.,2025-07-06 22:24:04.568075,Completed,459,3.0,0.0199
117,133,34,Carpentry,Antique wooden table has cracks and needs restoration.,2025-09-06 22:24:04.568075,Completed,960,4.0,0.3904
118,86,74,Plumbing,The kitchen drain is clogged and water backs up.,2026-01-21 22:24:04.568075,Canceled,0,,0.0174
119,70,43,Electrical,Half the lights in the apartment went out suddenly.,2025-05-27 22:24:04.568075,Completed,306,4.0,0.0165
120,237,47,Carpentry,Fixing a broken leg on the dining table.,2026-02-23 22:24:04.568075,Completed,808,4.0,0.1695
121,442,10,Plumbing,My kitchen sink is leaking continuously.,2025-07-21 22:24:04.568075,Completed,298,3.0,0.4131
122,492,87,Electrical,Need smart home wiring for lights and thermostat.,2025-04-17 22:24:04.568075,Completed,468,4.0,0.0245
123,259,69,Carpentry,Need custom shelves built for the living room.,2025-04-23 22:24:04.568075,Completed,470,4.0,0.0263
124,24,62,Plumbing,"Toilet is constantly running, wasting water.",2025-12-04 22:24:04.568075,Completed,321,5.0,0.011
125,196,52,Plumbing,Shower drain is very slow and smells terrible.,2025-04-13 22:24:04.568075,Canceled,0,,0.0243
126,313,75,Plumbing,Need help installing a new washing machine drain.,2025-04-06 22:24:04.568075,Completed,422,4.0,0.0468
127,202,31,Carpentry,The bedroom door is stuck and won't close.,2025-10-13 22:24:04.568075,Canceled,0,,0.0231
128,452,74,Plumbing,The toilet won't flush properly.,2025-11-28 22:24:04.568075,Canceled,0,,0.0153
129,207,89,Carpentry,New office desk needs professional assembly.,2026-01-27 22:24:04.568075,Completed,129,4.0,0.0077
130,397,46,Plumbing,The kitchen drain is clogged and water backs up.,2026-02-09 22:24:04.568075,Completed,242,4.0,0.0313
131,444,26,Plumbing,Dishwasher water line needs professional installation.,2026-01-21 22:24:04.568075,Completed,476,4.0,0.1245
132,62,3,Plumbing,Need help installing a new washing machine drain.,2025-10-28 22:24:04.568075,Completed,206,2.0,0.3002
133,448,80,Electrical,Need to rewire the living room for extra outlets.,2025-05-19 22:24:04.568075,Canceled,0,,0.008
134,470,81,Electrical,Wiring for the new smart TV setup.,2025-11-08 22:24:04.568075,Completed,544,4.0,0.0243
135,137,37,Electrical,Main circuit breaker needs inspection and replacement.,2025-10-12 22:24:04.568075,Completed,840,4.0,0.1185
136,473,6,Carpentry,Assembling a new IKEA wardrobe.,2025-08-29 22:24:04.568075,Canceled,0,,0.1332
137,487,39,Plumbing,The toilet won't flush properly.,2025-11-19 22:24:04.568075,Completed,129,4.0,0.0189
138,127,36,Carpentry,"Front door lock mechanism is jammed, door won't open.",2025-10-29 22:24:04.568075,Completed,215,4.0,0.3025
139,188,89,Carpentry,"Front door lock mechanism is jammed, door won't open.",2025-09-28 22:24:04.568075,Canceled,0,,0.0199
140,365,40,Electrical,The fuse box keeps tripping when I turn on the AC.,2026-01-03 22:24:04.568075,Completed,1002,3.0,0.3341
141,441,17,Plumbing,Need help installing a new washing machine drain.,2025-09-19 22:24:04.568075,Completed,248,4.0,0.0253
142,199,11,Electrical,Sparking sound coming from the wall outlet.,2025-04-17 22:24:04.568075,Canceled,0,,0.1083
143,120,21,Electrical,Need to install a new ceiling fan in the bedroom.,2026-01-11 22:24:04.568075,Completed,1026,5.0,0.0304
144,87,59,Electrical,Wiring for the new smart TV setup.,2025-07-14 22:24:04.568075,Completed,630,4.0,0.0327
145,169,54,Carpentry,"Front door lock mechanism is jammed, door won't open.",2025-05-19 22:24:04.568075,Completed,215,4.0,0.0294
146,65,46,Plumbing,The water heater is making strange noises and water is cold.,2026-01-03 22:24:04.568075,Completed,726,4.0,0.0384
147,317,68,Plumbing,Dishwasher water line needs professional installation.,2025-04-04 22:24:04.568075,Completed,362,5.0,0.0182
148,315,100,Electrical,Need smart home wiring for lights and thermostat.,2026-03-12 22:24:04.568075,Canceled,0,,0.1032
149,422,46,Plumbing,The water heater is making strange noises and water is cold.,2025-08-27 22:24:04.568075,Completed,726,3.0,0.3496
150,469,2,Electrical,Ceiling fan is wobbling dangerously and making noise.,2025-06-03 22:24:04.568075,Completed,397,5.0,0.0141
151,12,47,Carpentry,Antique wooden table has cracks and needs restoration.,2025-04-26 22:24:04.568075,Canceled,0,,0.4212
152,461,94,Electrical,The fuse box keeps tripping when I turn on the AC.,2025-04-06 22:24:04.568075,Canceled,0,,0.0167
153,232,73,Electrical,Need to rewire the living room for extra outlets.,2025-07-10 22:24:04.568075,Canceled,0,,0.3987
154,257,27,Carpentry,Assembling a new IKEA wardrobe.,2025-09-27 22:24:04.568075,Completed,449,4.0,0.4071
155,275,22,Plumbing,The water heater is making strange noises and water is cold.,2026-01-06 22:24:04.568075,Canceled,0,,0.3824
156,7,95,Electrical,Need smart home wiring for lights and thermostat.,2025-06-10 22:24:04.568075,Completed,700,5.0,0.0115
157,110,83,Plumbing,Dishwasher water line needs professional installation.,2025-11-03 22:24:04.568075,Completed,364,3.0,0.4317
158,353,92,Plumbing,The toilet won't flush properly.,2025-08-08 22:24:04.568075,Completed,430,3.0,0.3599
159,278,70,Electrical,Main circuit breaker needs inspection and replacement.,2025-05-19 22:24:04.568075,Canceled,0,,0.382
160,329,94,Electrical,Ceiling fan is wobbling dangerously and making noise.,2025-08-14 22:24:04.568075,Canceled,0,,0.3006
161,313,75,Plumbing,Dishwasher water line needs professional installation.,2026-01-22 22:24:04.568075,Completed,422,5.0,0.0468
162,476,95,Electrical,Half the lights in the apartment went out suddenly.,2025-07-08 22:24:04.568075,Completed,1050,5.0,0.3556
163,222,21,Electrical,The fuse box keeps tripping when I turn on the AC.,2025-08-17 22:24:04.568075,Canceled,0,,0.377
164,331,89,Carpentry,"Bathroom cabinet door fell off, need repair.",2025-10-28 22:24:04.568075,Completed,129,3.0,0.0398
165,12,32,Electrical,The fuse box keeps tripping when I turn on the AC.,2025-07-17 22:24:04.568075,Completed,513,3.0,0.0389
166,105,30,Plumbing,Need help installing a new washing machine drain.,2025-09-19 22:24:04.568075,Completed,584,5.0,0.0145
167,17,18,Carpentry,"Front door lock mechanism is jammed, door won't open.",2025-10-31 22:24:04.568075,Completed,532,3.0,0.3294
168,413,86,Plumbing,My kitchen sink is leaking continuously.,2025-08-29 22:24:04.568075,Completed,480,4.0,0.1128
169,317,79,Carpentry,Antique wooden table has cracks and needs restoration.,2026-02-12 22:24:04.568075,Completed,352,3.0,0.1573
170,378,48,Plumbing,The toilet won't flush properly.,2025-09-04 22:24:04.568075,Completed,1146,5.0,0.013
171,117,74,Plumbing,The kitchen drain is clogged and water backs up.,2026-02-01 22:24:04.568075,Canceled,0,,0.0366
172,321,30,Plumbing,"Toilet is constantly running, wasting water.",2025-09-23 22:24:04.568075,Canceled,0,,0.4005
173,257,50,Electrical,Need to rewire the living room for extra outlets.,2025-10-31 22:24:04.568075,Completed,765,5.0,0.132
174,209,86,Plumbing,Dishwasher water line needs professional installation.,2025-08-27 22:24:04.568075,Completed,480,3.0,0.393
175,347,24,Plumbing,"Need the water heater replaced, it's rusty and old.",2025-04-30 22:24:04.568075,Completed,1077,5.0,0.3279
176,121,71,Electrical,Wiring for the new smart TV setup.,2025-12-18 22:24:04.568075,Canceled,0,,0.0256
177,386,63,Plumbing,Need help installing a new washing machine drain.,2025-09-17 22:24:04.568075,Completed,958,5.0,0.4051
178,78,49,Plumbing,The kitchen drain is clogged and water backs up.,2025-06-08 22:24:04.568075,Completed,259,4.0,0.0129
179,270,64,Carpentry,"Front door lock mechanism is jammed, door won't open.",2025-11-29 22:24:04.568075,Completed,378,3.0,0.1438
180,459,88,Electrical,Wall outlet stopped working and smells like burning.,2025-11-06 22:24:04.568075,Completed,1737,5.0,0.1099
181,493,84,Plumbing,Dishwasher water line needs professional installation.,2025-09-03 22:24:04.568075,Completed,382,4.0,0.0328
182,308,50,Electrical,Ceiling fan is wobbling dangerously and making noise.,2025-11-03 22:24:04.568075,Completed,255,4.0,0.0335
183,412,93,Electrical,Need to install a new ceiling fan in the bedroom.,2025-09-18 22:24:04.568075,Completed,610,5.0,0.0079
184,59,67,Electrical,Wiring for the new smart TV setup.,2025-04-10 22:24:04.568075,Completed,1248,5.0,0.0088
185,202,82,Carpentry,The bedroom door is stuck and won't close.,2026-02-15 22:24:04.568075,Completed,197,2.0,0.1531
186,341,9,Electrical,Need to rewire the living room for extra outlets.,2025-12-06 22:24:04.568075,Canceled,0,,0.4328
187,149,69,Carpentry,Assembling a new IKEA wardrobe.,2025-04-12 22:24:04.568075,Completed,235,5.0,0.0194
188,379,22,Plumbing,"Toilet is constantly running, wasting water.",2026-01-08 22:24:04.568075,Canceled,0,,0.2984
189,248,61,Electrical,Main circuit breaker needs inspection and replacement.,2025-06-07 22:24:04.568075,Completed,1737,5.0,0.2773
190,391,48,Plumbing,My kitchen sink is leaking continuously.,2025-09-13 22:24:04.568075,Completed,1719,4.0,0.423
191,29,27,Carpentry,"Front door lock mechanism is jammed, door won't open.",2025-07-26 22:24:04.568075,Completed,449,5.0,0.0233
192,440,71,Electrical,Wall outlet stopped working and smells like burning.,2025-12-15 22:24:04.568075,Canceled,0,,0.0934
193,124,39,Plumbing,Need help installing a new washing machine drain.,2025-09-24 22:24:04.568075,Canceled,0,,0.0387
194,432,96,Carpentry,"Bathroom cabinet door fell off, need repair.",2025-10-06 22:24:04.568075,Canceled,0,,0.2796
195,423,40,Electrical,Sparking sound coming from the wall outlet.,2025-04-17 22:24:04.568075,Completed,668,5.0,0.0324
196,262,56,Plumbing,"Need the water heater replaced, it's rusty and old.",2026-03-04 22:24:04.568075,Completed,212,2.0,0.3198
197,138,83,Plumbing,The toilet won't flush properly.,2026-02-21 22:24:04.568075,Completed,364,3.0,0.3559
198,389,68,Plumbing,Dishwasher water line needs professional installation.,2025-09-08 22:24:04.568075,Canceled,0,,0.0321
199,60,92,Plumbing,"Bathroom pipe burst, flooding the floor!",2025-09-17 22:24:04.568075,Completed,430,4.0,0.0158
200,409,77,Plumbing,The water heater is making strange noises and water is cold.,2026-03-14 22:24:04.568075,Canceled,0,,0.0264
201,16,33,Plumbing,The toilet won't flush properly.,2025-05-04 22:24:04.568075,Completed,356,4.0,0.0278
202,103,19,Carpentry,Kitchen cabinet hinges are broken.,2025-09-06 22:24:04.568075,Completed,766,5.0,0.0517
203,456,15,Electrical,The fuse box keeps tripping when I turn on the AC.,2026-03-07 22:24:04.568075,Completed,1060,4.0,0.0137
204,127,32,Electrical,Wiring for the new smart TV setup.,2025-12-07 22:24:04.568075,Completed,513,2.0,0.2959
205,416,44,Plumbing,"Need the water heater replaced, it's rusty and old.",2025-07-09 22:24:04.568075,Completed,843,5.0,0.0314
206,245,21,Electrical,Ceiling fan is wobbling dangerously and making noise.,2025-07-15 22:24:04.568075,Completed,1026,5.0,0.0939
207,149,75,Plumbing,The kitchen drain is clogged and water backs up.,2025-05-12 22:24:04.568075,Completed,211,4.0,0.022
208,165,84,Plumbing,Need help installing a new washing machine drain.,2025-12-16 22:24:04.568075,Canceled,0,,0.0223
209,238,41,Electrical,Half the lights in the apartment went out suddenly.,2026-02-01 22:24:04.568075,Completed,1254,5.0,0.0068
210,3,73,Electrical,The fuse box keeps tripping when I turn on the AC.,2025-06-08 22:24:04.568075,Canceled,0,,0.1072
211,407,57,Plumbing,The kitchen drain is clogged and water backs up.,2026-02-04 22:24:04.568075,Completed,558,4.0,0.3093
212,226,41,Electrical,The fuse box keeps tripping when I turn on the AC.,2025-09-24 22:24:04.568075,Completed,1254,4.0,0.0334
213,225,8,Plumbing,Shower drain is very slow and smells terrible.,2026-01-28 22:24:04.568075,Canceled,0,,0.3114
214,182,45,Electrical,Need to install a new ceiling fan in the bedroom.,2025-11-06 22:24:04.568075,Canceled,0,,0.017
215,36,62,Plumbing,Shower drain is very slow and smells terrible.,2025-11-17 22:24:04.568075,Completed,321,5.0,0.0116
216,290,1,Carpentry,Wall-mounted bookshelf needs professional installation.,2025-11-02 22:24:04.568075,Completed,208,3.0,0.0304
217,425,83,Plumbing,"Toilet is constantly running, wasting water.",2025-10-03 22:24:04.568075,Canceled,0,,0.3322
218,18,78,Electrical,Wiring for the new smart TV setup.,2025-07-02 22:24:04.568075,Completed,1002,5.0,0.0294
219,17,14,Carpentry,Antique wooden table has cracks and needs restoration.,2026-02-13 22:24:04.568075,Completed,544,3.0,0.2925
220,93,44,Plumbing,"Toilet is constantly running, wasting water.",2025-12-30 22:24:04.568075,Canceled,0,,0.1444
221,265,59,Electrical,Need to rewire the living room for extra outlets.,2025-05-24 22:24:04.568075,Completed,630,4.0,0.0285
222,191,70,Electrical,Need to install a new ceiling fan in the bedroom.,2025-11-07 22:24:04.568075,Completed,190,3.0,0.0296
223,113,4,Electrical,Wiring for the new smart TV setup.,2025-07-13 22:24:04.568075,Completed,645,4.0,0.1475
224,396,83,Plumbing,"Toilet is constantly running, wasting water.",2025-04-04 22:24:04.568075,Canceled,0,,0.3415
225,80,3,Plumbing,The toilet won't flush properly.,2025-07-20 22:24:04.568075,Completed,206,2.0,0.1381
226,46,53,Carpentry,Assembling a new IKEA wardrobe.,2025-09-29 22:24:04.568075,Canceled,0,,0.1464
227,86,35,Plumbing,Shower drain is very slow and smells terrible.,2026-03-22 22:24:04.568075,Completed,886,4.0,0.029
228,67,77,Plumbing,"Need the water heater replaced, it's rusty and old.",2025-05-31 22:24:04.568075,Canceled,0,,0.3848
229,320,22,Plumbing,My kitchen sink is leaking continuously.,2026-03-13 22:24:04.568075,Completed,792,4.0,0.338
230,109,7,Carpentry,Need custom shelves built for the living room.,2026-01-31 22:24:04.568075,Completed,932,5.0,0.0097
231,213,76,Electrical,Half the lights in the apartment went out suddenly.,2025-03-31 22:24:04.568075,Canceled,0,,0.3932
232,315,94,Electrical,Need to install a new ceiling fan in the bedroom.,2026-01-27 22:24:04.568075,Completed,122,3.0,0.0238
233,323,75,Plumbing,Need help installing a new washing machine drain.,2025-07-21 22:24:04.568075,Completed,422,4.0,0.0111
234,172,90,Electrical,Need to install a new ceiling fan in the bedroom.,2026-02-12 22:24:04.568075,Completed,140,3.0,0.4235
